idx,folder_name,class_name
0,apple_pie,apple pie
1,baby_back_ribs,baby back ribs
2,baklava,baklava
3,beef_carpaccio,beef carpaccio
4,beef_tartare,beef tartare
5,beet_salad,beet salad
6,beignets,beignets
7,bibimbap,bibimbap
8,bread_pudding,bread pudding
9,breakfast_burrito,breakfast burrito
10,bruschetta,bruschetta
11,caesar_salad,caesar salad
12,cannoli,cannoli
13,caprese_salad,caprese salad
14,carrot_cake,carrot cake
15,ceviche,ceviche
16,cheese_plate,cheese plate
17,cheesecake,cheesecake
18,chicken_curry,chicken curry
19,chicken_quesadilla,chicken quesadilla
20,chicken_wings,chicken wings
21,chocolate_cake,chocolate cake
22,chocolate_mousse,chocolate mousse
23,churros,churros
24,clam_chowder,clam chowder
25,club_sandwich,club sandwich
26,crab_cakes,crab cakes
27,creme_brulee,creme brulee
28,croque_madame,croque madame
29,cup_cakes,cup cakes
30,deviled_eggs,deviled eggs
31,donuts,donuts
32,dumplings,dumplings
33,edamame,edamame
34,eggs_benedict,eggs benedict
35,escargots,escargots
36,falafel,falafel
37,filet_mignon,filet mignon
38,fish_and_chips,fish and chips
39,foie_gras,foie gras
40,french_fries,french fries
41,french_onion_soup,french onion soup
42,french_toast,french toast
43,fried_calamari,fried calamari
44,fried_rice,fried rice
45,frozen_yogurt,frozen yogurt
46,garlic_bread,garlic bread
47,gnocchi,gnocchi
48,greek_salad,greek salad
49,grilled_cheese_sandwich,grilled cheese sandwich
50,grilled_salmon,grilled salmon
51,guacamole,guacamole
52,gyoza,gyoza
53,hamburger,hamburger
54,hot_and_sour_soup,hot and sour soup
55,hot_dog,hot dog
56,huevos_rancheros,huevos rancheros
57,hummus,hummus
58,ice_cream,ice cream
59,lasagna,lasagna
60,lobster_bisque,lobster bisque
61,lobster_roll_sandwich,lobster roll sandwich
62,macaroni_and_cheese,macaroni and cheese
63,macarons,macarons
64,miso_soup,miso soup
65,mussels,mussels
66,nachos,nachos
67,omelette,omelette
68,onion_rings,onion rings
69,oysters,oysters
70,pad_thai,pad thai
71,paella,paella
72,pancakes,pancakes
73,panna_cotta,panna cotta
74,peking_duck,peking duck
75,pho,pho
76,pizza,pizza
77,pork_chop,pork chop
78,poutine,poutine
79,prime_rib,prime rib
80,pulled_pork_sandwich,pulled pork sandwich
81,ramen,ramen
82,ravioli,ravioli
83,red_velvet_cake,red velvet cake
84,risotto,risotto
85,samosa,samosa
86,sashimi,sashimi
87,scallops,scallops
88,seaweed_salad,seaweed salad
89,shrimp_and_grits,shrimp and grits
90,spaghetti_bolognese,spaghetti bolognese
91,spaghetti_carbonara,spaghetti carbonara
92,spring_rolls,spring rolls
93,steak,steak
94,strawberry_shortcake,strawberry shortcake
95,sushi,sushi
96,tacos,tacos
97,takoyaki,takoyaki
98,tiramisu,tiramisu
99,tuna_tartare,tuna tartare
100,waffles,waffles
